Artist,Nationality,Gender,BeginDate,EndDate,Museum,Ethnicity,SmallMuseum,Race
Adam Kilian,Unknown,Male,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,White
Adam Licht,Unknown,Male,Unknown,Unknown,Museum of Fine Arts Houston,Unknown,No,White
Adam Loofs,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,White
Adam McEwen,Unknown,Male,Unknown,Unknown,Rhode Island School of Design Museum,Unknown,No,White
Adam Pendleton,American,Male,1984.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Adam Perelle,Unknown,Male,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,White
Adam Rolston,Unknown,Male,Unknown,Unknown,Museum of Contemporary Art,Unknown,No,White
Adam Ross,Unknown,Male,Unknown,Unknown,Museum of Contemporary Art,Unknown,No,White
Adam Victor,Unknown,Male,Unknown,Unknown,Philadelphia Museum of Art,Unknown,No,White
Adam Willaerts,Unknown,Male,Unknown,Unknown,Nelson-Atkins Museum of Art,Unknown,No,White
Adam van Oort,Unknown,Male,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,Unknown
Adan Louis Emile,Unknown,Male,Unknown,Unknown,Philadelphia Museum of Art,Unknown,No,White
Addison Thomas Millar,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,White
Adela Akers,Unknown,Female,Unknown,Unknown,Museum of Fine Arts Houston,Unknown,No,White
Adele E. Balkan ,Unknown,Unknown,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,White
Adele Röder,German,Female,1980.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Adele Simpson,Unknown,Female,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,White
Adeline Thompson Landes,Unknown,Female,Unknown,Unknown,Museum of Fine Arts Houston,Unknown,No,White
Adelita Husni-Bey,Italian,Female,1985.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Ademar Manarini,Brazilian,Male,Unknown,Unknown,Museum of Modern Art,Unknown,No,Unknown
Adger Cowans,American,Unknown,1936.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Adhi Nugraha,Indonesian,Male,1965.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Adi Nes,Unknown,Male,Unknown,Unknown,National Gallery of Art,Other,No,Unknown
Adidas,German,Unknown,1949.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Ado Sato,Japanese,Male,1936.0,1994.0,Museum of Modern Art,Unknown,No,Unknown
Adol'f Strakhov,Unknown,Male,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Adolf Abel,German,Male,1882.0,1968.0,Museum of Modern Art,Unknown,No,Unknown
Adolf Arthur Dehn,Unknown,Male,Unknown,Unknown,Nelson-Atkins Museum of Art,Unknown,No,White
Adolf Bauer-Saar,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,White
Adolf Benca,American,Male,1959.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Adolf Boehm,Austrian,Male,1861.0,1927.0,Museum of Modern Art,Unknown,No,Unknown
Adolf Closs,Unknown,Male,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,White
Adolf De Meyer,German,Male,1868.0,1946.0,Museum of Modern Art,Unknown,No,Unknown
Adolf Dehn,American,Male,1895.0,1968.0,Museum of Modern Art,Unknown,No,Unknown
Adolf Fassbender,American,Male,1884.0,1980.0,Museum of Modern Art,Unknown,No,Unknown
Adolf Ferdinand Schinnerer,German,Male,1876.0,1949.0,Museum of Modern Art,Unknown,No,Unknown
Adolf Gustav Friedrich Schneck,German,Male,1883.0,1971.0,Museum of Modern Art,Unknown,No,Unknown
Adolf Hiremy-Hirschl,Unknown,Male,Unknown,Unknown,Dallas Museum of Art,Unknown,No,White
Adolf Hoffmeister,Unknown,Male,Unknown,Unknown,Museum of Fine Arts Houston,Unknown,No,White
Adolf Hohenstein,Unknown,Male,Unknown,Unknown,Art Institute of Chicago,Unknown,No,White
Adolf K<U+00F6>glsperger ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,White
Adolf Meyer,German,Male,1881.0,1929.0,Museum of Modern Art,Unknown,No,Unknown
Adolf Navara,Czech,Male,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Adolf Rambold,German,Male,1900.0,1996.0,Museum of Modern Art,Unknown,No,Unknown
Adolf Richard Fleischmann,German,Male,1892.0,1969.0,Museum of Modern Art,Unknown,No,Unknown
Adolf Schreyer,Unknown,Male,Unknown,Unknown,Yale University Art Gallery,Unknown,No,White
Adolf Zabransky,German,Male,1909.0,1981.0,Museum of Modern Art,Unknown,No,Unknown
Adolf de Meyer,Unknown,Unknown,Unknown,Unknown,Denver Art Museum,Unknown,No,White
Adolfo,Unknown,Male,Unknown,Unknown,Rhode Island School of Design Museum,Unknown,No,Unknown
Adolfo ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,Unknown
Adolfo Natalini,Unknown,Male,Unknown,Unknown,San Francisco Museum of Modern Art,Unknown,No,White
Adolph Alexander Weinman,Unknown,Male,Unknown,Unknown,Denver Art Museum,Unknown,No,White
Adolph KatzMaker: Coro,Unknown,Male,Unknown,Unknown,Yale University Art Gallery,Unknown,No,Unknown
Adolph Loos,Austrian,Male,1870.0,1933.0,Museum of Modern Art,Unknown,No,Unknown
Adolph Menzel,Unknown,Male,Unknown,Unknown,High Museum of Art,Unknown,No,White
Adolph Rischner,Unknown,Male,Unknown,Unknown,National Gallery of Art,Unknown,No,Unknown
Adolph Schinnerer,Unknown,Male,Unknown,Unknown,Dallas Museum of Art,Unknown,No,Unknown
Adolph Triedler,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,Unknown
Adolph von Menzel,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,White
Adolph von Menzel ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,White
Adolphe Appian,Unknown,Male,Unknown,Unknown,Dallas Museum of Art,Unknown,No,White
Adolphe Crespin,Belgian,Male,1859.0,1944.0,Museum of Modern Art,Unknown,No,Unknown
Adolphe Himmel,Unknown,Male,Unknown,Unknown,Museum of Fine Arts Houston,Unknown,No,White
Adolphe Marie TimothACe BeaufrA?re,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,White
Adolphe Monticelli,Unknown,Male,Unknown,Unknown,Dallas Museum of Art,Unknown,No,White
Adolphe Portier,Unknown,Male,Unknown,Unknown,Yale University Art Gallery,Unknown,No,White
Adolphe Schreyer,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,White
Adolphe Terris,French,Male,1820.0,1900.0,Museum of Modern Art,Unknown,No,Unknown
Adolphe-Léon Willette,French,Male,1857.0,1926.0,Museum of Modern Art,Unknown,No,Unknown
Adolpho Wildt,Italian,Male,1868.0,1931.0,Museum of Modern Art,Unknown,No,Unknown
Adriaan Geuze,Dutch,Male,1960.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Adriaen Coorte ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,White
Adriaen Haelwegh,Unknown,Male,Unknown,Unknown,National Gallery of Art,Unknown,No,White
Adriaen Manglard,Unknown,Male,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,White
Adriaen van Ostade,Unknown,Male,Unknown,Unknown,Yale University Art Gallery,Unknown,No,White
Adriaen van der Spelt,Unknown,Male,Unknown,Unknown,Art Institute of Chicago,Unknown,No,White
Adrian Allinson,British,Male,1890.0,1959.0,Museum of Modern Art,Unknown,No,Unknown
Adrian Esparza,Unknown,Male,Unknown,Unknown,Dallas Museum of Art,Unknown,No,Unknown
Adrian Ghenie,Romanian,Male,1977.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Adrian Heath,Unknown,Male,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,White
Adrian Jones,Unknown,Male,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Adrian Paci,Albanian,Male,1969.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Adrian Piper,American,Female,1948.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Adrian Sauer,German,Unknown,1976.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Adrian Siegel,American,Male,1898.0,1978.0,Museum of Modern Art,Unknown,No,Unknown
Adrian Troy,Unknown,Male,Unknown,Unknown,Art Institute of Chicago,Unknown,No,White
Adrian Wiszniewski,British,Male,1958.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Adrian van der Cabel,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,White
Adriana Jadranka Maraž,Slovenian,Female,1931.0,2015.0,Museum of Modern Art,Unknown,No,Unknown
Adriana Maraz,Unknown,Female,Unknown,Unknown,National Gallery of Art,Unknown,No,White
Adriane Herman,Unknown,Unknown,Unknown,Unknown,Yale University Art Gallery,Unknown,No,White
Adriano Fiorentino,Unknown,Male,Unknown,Unknown,National Gallery of Art,Unknown,No,White
Adrien Bonfils,Unknown,Male,Unknown,Unknown,Museum of Fine Arts Houston,Unknown,No,White
Adrien Dauzats,Unknown,Male,Unknown,Unknown,Art Institute of Chicago,Unknown,No,White
Adrien Dax,French,Male,1913.0,1979.0,Museum of Modern Art,Unknown,No,Unknown
Adrien Feart,Unknown,Male,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,White
Adrien Maeght,Unknown,Unknown,Unknown,Unknown,National Gallery of Art,Unknown,No,Unknown
Adrien Majewski,Unknown,Unknown,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,White
Adrien-Jean Maximilien Vachette ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,White
Adrien-Louis-Marie Cavelier,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,White
Adrien-Pierre Dalpayrat,Unknown,Male,Unknown,Unknown,Museum of Modern Art,Unknown,No,White
Adrienne Salinger,Unknown,Female,Unknown,Unknown,Museum of Fine Arts Houston,Unknown,No,White
Adrián Villar Rojas,Argentine,Male,1980.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Adão Pinheiro,Brazilian,Male,Unknown,Unknown,Museum of Modern Art,Unknown,No,Unknown
Aenne Biermann,German,Female,1898.0,1933.0,Museum of Modern Art,Unknown,No,Unknown
Aernout Mik,Dutch,Male,1962.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Aernout Overbeeke ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,White
Aert de Gelder,Unknown,Male,Unknown,Unknown,Rhode Island School of Design Museum,Unknown,No,White
Affandi Setiawan,Unknown,Male,Unknown,Unknown,Rhode Island School of Design Museum,Unknown,No,Unknown
Afrika (Sergei Bugaev),Unknown,Male,Unknown,Unknown,Museum of Contemporary Art,Unknown,No,White
Afro (Afro Basaldella),Italian,Male,1912.0,1976.0,Museum of Modern Art,Unknown,No,Unknown
After Agostino Cornacchini ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,White
After Conrad Caspar Rordorf,Unknown,Male,Unknown,Unknown,Museum of Fine Arts Houston,Unknown,No,White
After Louis LACopold Boilly,Unknown,Male,Unknown,Unknown,Museum of Fine Arts Houston,Unknown,No,White
After Ludolf Backhuysen,Unknown,Male,Unknown,Unknown,Museum of Fine Arts Houston,Unknown,No,White
After Marco Chillitupa ChA!vez,Unknown,Unknown,Unknown,Unknown,Denver Art Museum,Unknown,No,Unknown
After Sessh<U+016B> T<U+014D>y<U+014D> ,Unknown,Unknown,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,Asian
After Sophie Taeuber-Arp,Unknown,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Aftograf,Russian,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Agam (Yaacov Agam),Israeli,Male,1928.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Agathe Jacquillat,Unknown,Unknown,Unknown,Unknown,Museum of Modern Art,Unknown,No,White
Agathe Sorel,Unknown,Female,Unknown,Unknown,Art Institute of Chicago,Unknown,No,White
Agenore Fabbri,Italian,Male,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Aglio Agostino,Unknown,Male,Unknown,Unknown,Philadelphia Museum of Art,Unknown,No,White
Agnes Caroline Chamberlayne Johnstone,British,Female,1845.0,1925.0,Museum of Modern Art,Unknown,No,Unknown
Agnes Denes,American,Female,1931.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Agnes Pelton,American,Female,1881.0,1961.0,Museum of Modern Art,Unknown,No,Unknown
Agnes Speyer,Unknown,Unknown,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,White
Agnes Tait,Unknown,Female,Unknown,Unknown,Dallas Museum of Art,Unknown,No,White
Agnès Varda,French,Female,1928.0,2019.0,Museum of Modern Art,Unknown,No,Unknown
Agostino Carracci,Unknown,Male,Unknown,Unknown,Art Institute of Chicago,Unknown,No,White
Agostino Lauro,Unknown,Male,Unknown,Unknown,Rhode Island School of Design Museum,Unknown,No,White
