,Artist,Classification,BeginDate,EndDate,Ethnicity,Museum,Gender,SmallMuseum,Nationality,Race,Decade
48,Aaron Siskind,Photograph,1903.0,1991.0,Unknown,High Museum of Art,Male,No,American,White,1900.0
49,Aaron Young,Video,1972.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1970.0
51,Abby Leigh,Print,1948.0,0.0,Unknown,Museum of Fine Arts Houston,Female,No,American,Unknown,1940.0
53,Abdoulaye Konaté,Sculpture,1953.0,0.0,Unknown,Museum of Modern Art,Male,No,Malian,Unknown,1950.0
54,Abdul Mati Klarwein,Design,1932.0,2002.0,Unknown,Museum of Modern Art,Male,No,German,Unknown,1930.0
55,Abe Frajndlich,Photograph,1946.0,0.0,Unknown,Museum of Modern Art,Male,No,German,Unknown,1940.0
56,Abe Shiro (pen Name: Suichiku),Drawing,1900.0,0.0,Unknown,Museum of Modern Art,Male,No,Japanese,Unknown,1900.0
59,Abelardo Morell,Illustrated Book,1948.0,0.0,Hispanic,San Francisco Museum of Modern Art,Male,No,American,Unknown,1940.0
60,Abigail Perlmutter,Photograph,1950.0,0.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1950.0
61,Abraham Cruzvillegas,Multiple,1968.0,0.0,Hispanic,Museum of Contemporary Art,Male,No,Mexican,Unknown,1960.0
63,Abraham P. Hankins,Print,1904.0,1963.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1900.0
65,Abraham Rattner,Painting,1893.0,1978.0,Unknown,Whitney Museum of American Art,Male,No,American,White,1890.0
66,Abraham Shterenberg,Photograph,1894.0,1978.0,Unknown,Museum of Modern Art,Male,No,Russian,Unknown,1890.0
67,Abraham Walkowitz,Painting,1878.0,1965.0,Unknown,Whitney Museum of American Art,Male,No,American,White,1870.0
68,Abram Games,Design,1914.0,1996.0,Unknown,Museum of Modern Art,Male,No,British,Unknown,1910.0
69,Abram Krol,Print,1919.0,2001.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1910.0
71,Accra Shepp,Photograph,1962.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1960.0
72,Acharya Vyakul,Drawing,1930.0,2000.0,Unknown,Museum of Modern Art,Male,No,Indian,Unknown,1930.0
73,Achille Castiglioni,Design,1918.0,2002.0,Unknown,Denver Art Museum,Male,No,Italian,White,1910.0
75,Achille Perilli,Print,1927.0,0.0,Unknown,Museum of Modern Art,Male,No,Italian,Unknown,1920.0
77,Achilles Droungas,Print,1940.0,0.0,Unknown,Museum of Modern Art,Male,No,Greek,Unknown,1940.0
78,Achilles Lemot,Periodical,1846.0,1909.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1840.0
79,Acme News Pictures,Photograph,1923.0,1952.0,Unknown,Museum of Modern Art,Unknown,No,Unknown,Unknown,1920.0
80,Ad Dekkers,Painting,1938.0,1974.0,Unknown,National Gallery of Art,Male,No,Dutch,Unknown,1930.0
81,Ad Gerritsen,Illustrated Book,1940.0,2015.0,Unknown,Museum of Modern Art,Male,No,Dutch,Unknown,1940.0
82,Ad Reinhardt,Drawing,1913.0,1967.0,Unknown,Whitney Museum of American Art,Male,No,American,Unknown,1910.0
83,Ada V. Gabriel,Print,1898.0,1975.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1890.0
84,Adam Ant (Stuart Leslie Goddard),Design,1954.0,0.0,Unknown,Museum of Modern Art,Male,No,British,Unknown,1950.0
85,Adam Bartos,Photograph,1953.0,0.0,Unknown,Museum of Contemporary Art,Male,No,American,Unknown,1950.0
86,Adam Bujak,Photograph,1940.0,0.0,Unknown,Museum of Modern Art,Male,No,Polish,Unknown,1940.0
87,Adam Clark Vroman,Photograph,1856.0,1916.0,Unknown,Museum of Fine Arts Houston,Male,No,American,White,1850.0
89,Adam Dant,Multiple,1967.0,0.0,Unknown,Museum of Modern Art,Male,No,British,Unknown,1960.0
91,Adam Fuss,Photograph,1961.0,0.0,Unknown,Museum of Fine Art Boston,Male,No,British,White,1960.0
92,Adam Helms,Print,1974.0,0.0,Unknown,Rhode Island School of Design Museum,Male,No,American,White,1970.0
93,Adam Pendleton,Illustrated Book,1984.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1980.0
94,Adele Röder,Installation,1980.0,0.0,Unknown,Museum of Modern Art,Female,No,German,Unknown,1980.0
95,Adelita Husni-Bey,Photograph,1985.0,0.0,Unknown,Museum of Modern Art,Female,No,Italian,Unknown,1980.0
97,Adger Cowans,Photograph,1936.0,0.0,Unknown,Museum of Modern Art,Unknown,No,American,Unknown,1930.0
98,Adhi Nugraha,Design,1965.0,0.0,Unknown,Museum of Modern Art,Male,No,Indonesian,Unknown,1960.0
99,Adidas,Design,1949.0,0.0,Unknown,Museum of Modern Art,Unknown,No,German,Unknown,1940.0
100,Adja Yunkers,Print,1900.0,1983.0,Unknown,Whitney Museum of American Art,Male,No,American,White,1900.0
101,Ado Sato,Print,1936.0,1994.0,Unknown,Museum of Modern Art,Male,No,Japanese,Unknown,1930.0
103,Adolf Abel,Architecture,1882.0,1968.0,Unknown,Museum of Modern Art,Male,No,German,Unknown,1880.0
104,Adolf Benca,Print,1959.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1950.0
105,Adolf Boehm,Design,1861.0,1927.0,Unknown,Museum of Modern Art,Male,No,Austrian,Unknown,1860.0
106,Adolf De Meyer,Photograph,1868.0,1946.0,Unknown,Museum of Modern Art,Male,No,German,Unknown,1860.0
107,Adolf Dehn,Print,1895.0,1968.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1890.0
108,Adolf Fassbender,Photograph,1884.0,1980.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1880.0
109,Adolf Ferdinand Schinnerer,Print,1876.0,1949.0,Unknown,Museum of Modern Art,Male,No,German,Unknown,1870.0
110,Adolf Gustav Friedrich Schneck,Architecture,1883.0,1971.0,Unknown,Museum of Modern Art,Male,No,German,Unknown,1880.0
111,Adolf Meyer,Design,1881.0,1929.0,Unknown,Museum of Modern Art,Male,No,German,Unknown,1880.0
113,Adolf Rambold,Design,1900.0,1996.0,Unknown,Museum of Modern Art,Male,No,German,Unknown,1900.0
114,Adolf Richard Fleischmann,Painting,1892.0,1969.0,Unknown,Museum of Modern Art,Male,No,German,Unknown,1890.0
115,Adolf Zabransky,Design,1909.0,1981.0,Unknown,Museum of Modern Art,Male,No,German,Unknown,1900.0
116,Adolph Gottlieb,Print,1903.0,1974.0,Unknown,High Museum of Art,Male,No,American,Unknown,1900.0
117,Adolph Loos,Design,1870.0,1933.0,Unknown,Museum of Modern Art,Male,No,Austrian,Unknown,1870.0
118,Adolph Treidler,Design,1886.0,1981.0,Unknown,Museum of Modern Art,Male,No,American,White,1880.0
119,Adolphe Braun,Photograph,1812.0,1877.0,Unknown,San Francisco Museum of Modern Art,Male,No,French,White,1810.0
120,Adolphe Crespin,Design,1859.0,1944.0,Unknown,Museum of Modern Art,Male,No,Belgian,Unknown,1850.0
121,Adolphe Terris,Photograph,1820.0,1900.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1820.0
122,Adolphe-Léon Willette,Print,1857.0,1926.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1850.0
123,Adolpho Wildt,Drawing,1868.0,1931.0,Unknown,Museum of Modern Art,Male,No,Italian,Unknown,1860.0
124,Adriaan Geuze,Architecture,1960.0,0.0,Unknown,Museum of Modern Art,Male,No,Dutch,Unknown,1960.0
125,Adrian Allinson,Design,1890.0,1959.0,Unknown,Museum of Modern Art,Male,No,British,Unknown,1890.0
126,Adrian Ghenie,Multiple,1977.0,0.0,Unknown,Museum of Modern Art,Male,No,Romanian,Unknown,1970.0
128,Adrian Paci,Print,1969.0,0.0,Unknown,Museum of Modern Art,Male,No,Albanian,Unknown,1960.0
130,Adrian Piper,Drawing,1948.0,0.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1940.0
131,Adrian Sauer,Photograph,1976.0,0.0,Unknown,Museum of Modern Art,Unknown,No,German,Unknown,1970.0
132,Adrian Siegel,Photograph,1898.0,1978.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1890.0
133,Adrian Wiszniewski,Drawing,1958.0,0.0,Unknown,Museum of Modern Art,Male,No,British,Unknown,1950.0
134,Adriana Jadranka Maraž,Print,1931.0,2015.0,Unknown,Museum of Modern Art,Female,No,Slovenian,Unknown,1930.0
135,Adrien Dax,Illustrated Book,1913.0,1979.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1910.0
136,Adrián Villar Rojas,Drawing,1980.0,0.0,Unknown,Museum of Modern Art,Male,No,Argentine,Unknown,1980.0
138,Aenne Biermann,Photograph,1898.0,1933.0,Unknown,Museum of Modern Art,Female,No,German,Unknown,1890.0
139,Aernout Mik,Installation,1962.0,0.0,Unknown,Museum of Modern Art,Male,No,Dutch,Unknown,1960.0
140,Afro (Afro Basaldella),Painting,1912.0,1976.0,Unknown,Museum of Modern Art,Male,No,Italian,Unknown,1910.0
143,Agam (Yaacov Agam),Painting,1928.0,0.0,Unknown,Museum of Modern Art,Male,No,Israeli,Unknown,1920.0
144,Agatha Wojciechowsky,Drawing,1893.0,1986.0,Unknown,Yale University Art Gallery,Female,No,American,White,1890.0
146,Agnes Caroline Chamberlayne Johnstone,Photograph,1845.0,1925.0,Unknown,Museum of Modern Art,Female,No,British,Unknown,1840.0
147,Agnes Denes,Illustrated Book,1931.0,0.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1930.0
148,Agnes Lyall,Print,1908.0,2013.0,Unknown,Yale University Art Gallery,Female,No,American,White,1900.0
149,Agnes Martin,Drawing,1912.0,2004.0,Unknown,High Museum of Art,Female,No,American,White,1910.0
150,Agnes Pelton,Painting,1881.0,1961.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1880.0
151,Agnès Varda,Work on Paper,1928.0,2019.0,Unknown,Museum of Modern Art,Female,No,French,Unknown,1920.0
154,Agustín Hernández Navarro,Architecture,1924.0,0.0,Unknown,Museum of Modern Art,Male,No,Mexican,Unknown,1920.0
155,Ahmed Morsi,Print,1930.0,0.0,Unknown,Museum of Modern Art,Male,No,Egyptian,Unknown,1930.0
156,Ahmed Yacoubi,Painting,1928.0,1985.0,Unknown,Museum of Modern Art,Male,No,Moroccan,Unknown,1920.0
157,Ahron Ben-Shmuel,Sculpture,1903.0,1984.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1900.0
158,Ai Weiwei,Print,1957.0,0.0,Unknown,Museum of Contemporary Art,Male,No,Chinese,Asian,1950.0
161,Aijiro Wakita,Print,1942.0,0.0,Unknown,Museum of Modern Art,Male,No,Japanese,Unknown,1940.0
162,Aimé Félix Del Marle,Drawing,1889.0,1952.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1880.0
164,Aino Aalto,Design,1894.0,1949.0,Unknown,"Metropolitan Museum of Art, New York, NY",Female,No,Finnish,White,1890.0
165,Akesuk Tudlik,Print,1890.0,1966.0,Unknown,Museum of Modern Art,Male,No,Canadian Inuit,Unknown,1890.0
166,Aki Inomata,Design,1983.0,0.0,Unknown,Museum of Modern Art,Female,No,Japanese,Unknown,1980.0
167,Akihiko Tsukamoto,Design,1952.0,0.0,Unknown,Museum of Modern Art,Male,No,Japanese,Unknown,1950.0
168,Akihiro Kaneko,Design,1961.0,0.0,Unknown,Museum of Modern Art,Male,No,Japanese,Unknown,1960.0
169,Akihisa Hirata,Architecture,1971.0,0.0,Unknown,Museum of Modern Art,Unknown,No,Japanese,Unknown,1970.0
173,Akira Inada,Design,1949.0,0.0,Unknown,Museum of Modern Art,Male,No,Japanese,Unknown,1940.0
175,Akira Kurosaki,Video,1937.0,0.0,Unknown,Museum of Modern Art,Male,No,Japanese,Unknown,1930.0
176,Akira Matsumoto,Video,1936.0,0.0,Unknown,Museum of Modern Art,Male,No,Japanese,Unknown,1930.0
177,Akira Miyoshi,Photograph,1919.0,0.0,Unknown,Museum of Modern Art,Male,No,Japanese,Unknown,1910.0
178,Akram Zaatari,Installation,1966.0,0.0,Unknown,Museum of Modern Art,Male,No,Lebanese,Unknown,1960.0
179,Akseli Gallen-Kallela,Design,1865.0,1931.0,Unknown,Museum of Modern Art,Male,No,Finnish,Unknown,1860.0
180,Aktuální umĕni,(not assigned),1964.0,0.0,Unknown,Museum of Modern Art,Unknown,No,Unknown,Unknown,1960.0
181,Al Corchia,Design,1935.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1930.0
182,Al Hansen,Drawing,1927.0,1995.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1920.0
183,Al Heenan,Design,1909.0,1997.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1900.0
184,Al Held,Painting,1928.0,2005.0,Unknown,High Museum of Art,Male,No,American,White,1920.0
185,Al Lieberman,Photograph,1939.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1930.0
186,Al Loving,Painting,1935.0,2005.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1930.0
187,Al Souza,Illustrated Book,1944.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1940.0
188,Al Taylor,Sculpture,1948.0,1999.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1940.0
189,Aladár Richter,Design,1898.0,1950.0,Unknown,Museum of Modern Art,Male,No,Hungarian,Unknown,1890.0
190,Alain Huck,Print,1957.0,0.0,Unknown,Museum of Modern Art,Male,No,Unknown,Unknown,1950.0
191,Alain Jacquet,Painting,1939.0,2008.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1930.0
193,Alain Kirili,Sculpture,1946.0,2021.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1940.0
194,Alain Resnais,Work on Paper,1922.0,0.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1920.0
195,Alain Tanner,Video,1929.0,0.0,Unknown,Museum of Modern Art,Male,No,Swiss,Unknown,1920.0
196,Alain de La Bourdonnaye,Illustrated Book,1930.0,2016.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1930.0
198,Alan Aldridge,Design,1943.0,0.0,Unknown,Museum of Modern Art,Male,No,British,Unknown,1940.0
199,Alan Charlton,Print,1948.0,0.0,Unknown,Museum of Modern Art,Male,No,British,White,1940.0
200,Alan Chin,Photograph,1970.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1970.0
201,Alan Cote,Painting,1937.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1930.0
202,Alan Davie,Painting,1920.0,2014.0,Unknown,Museum of Fine Arts Houston,Male,No,British,White,1920.0
203,Alan Fletcher,Design,1931.0,0.0,Unknown,Museum of Modern Art,Male,No,British,Unknown,1930.0
204,Alan Green,Print,1932.0,0.0,Unknown,Museum of Modern Art,Male,No,British,Unknown,1930.0
205,Alan Herman,Print,1947.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1940.0
206,Alan Kessler,Print,1945.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1940.0
207,Alan Randall Best,Design,1958.0,0.0,Unknown,Museum of Modern Art,Male,No,Canadian,Unknown,1950.0
208,Alan Reynolds,Painting,1926.0,2014.0,Unknown,Dallas Museum of Art,Male,No,British,White,1920.0
209,Alan Saret,Multiple,1944.0,0.0,Unknown,Whitney Museum of American Art,Male,No,American,White,1940.0
210,Alan Scarritt,Video,1945.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1940.0
211,Alan Shields,Print,1944.0,2005.0,Unknown,Yale University Art Gallery,Male,No,American,White,1940.0
212,Alan Sonfist,Photograph,1946.0,0.0,Unknown,Museum of Contemporary Art,Male,No,American,White,1940.0
213,Alan Spigelman,Design,1939.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1930.0
214,Alan Turner,Print,1943.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1940.0
215,Alastair (Hans H. Voight),Drawing,1887.0,1969.0,Unknown,Museum of Modern Art,Male,No,German,Unknown,1880.0
217,Albert (Albert Mentzel) Flocon,Illustrated Book,1909.0,1946.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1900.0
218,Albert Alcalay,Drawing,1917.0,2008.0,Unknown,Museum of Fine Art Boston,Male,No,American,White,1910.0
219,Albert Angus Turbayne,Design,1866.0,1940.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1860.0
220,Albert Besnard,Print,1849.0,1934.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1840.0
221,Albert Bloch,Painting,1882.0,1961.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1880.0
222,Albert Dubois-Pillet,Drawing,1846.0,1890.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1840.0
223,Albert E. Yersin,Print,1905.0,1984.0,Unknown,Museum of Modern Art,Male,No,Swiss,Unknown,1900.0
224,Albert Fenn,Photograph,1912.0,1995.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1910.0
225,Albert Fennar,Photograph,1938.0,2018.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1930.0
226,Albert Fuss,Design,1889.0,1969.0,Unknown,Museum of Modern Art,Male,No,German,Unknown,1880.0
227,Albert Gleizes,Painting,1881.0,1953.0,Unknown,Denver Art Museum,Male,No,French,White,1880.0
228,Albert Guillaume,Design,1873.0,1942.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1870.0
229,Albert Herter,Design,1871.0,1950.0,Unknown,High Museum of Art,Male,No,American,White,1870.0
230,Albert Kahn,Mies van der Rohe Archive,1869.0,1942.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1860.0
231,Albert M. Fine,Audio,1932.0,1987.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1930.0
232,Albert Marquet,Print,1875.0,1947.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1870.0
233,Albert Nagele,Design,1935.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1930.0
234,Albert Newall,Drawing,1920.0,1989.0,Unknown,Museum of Modern Art,Male,No,British,Unknown,1920.0
235,Albert Oehlen,Print,1954.0,0.0,Unknown,Museum of Modern Art,Male,No,German,Unknown,1950.0
236,Albert Renger-Patzsch,Photograph,1897.0,1966.0,Unknown,San Francisco Museum of Modern Art,Male,No,German,White,1890.0
237,Albert Rudomine,Photograph,1892.0,1975.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1890.0
238,Albert Sterner,Drawing,1863.0,1946.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1860.0
239,Albert Swinden,Print,1901.0,1961.0,Unknown,National Gallery of Art,Male,No,American,White,1900.0
240,Albert Tucker,Painting,1914.0,1999.0,Unknown,Museum of Modern Art,Male,No,Australian,Unknown,1910.0
241,Albert Urban,Print,1909.0,1959.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1900.0
242,Albert York,Painting,1928.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1920.0
243,Albert-Jan Pool,Design,1960.0,0.0,Unknown,Museum of Modern Art,Male,No,Dutch,Unknown,1960.0
244,Alberto Biasi,Print,1937.0,0.0,Unknown,Museum of Modern Art,Male,No,Italian,Unknown,1930.0
245,Alberto Burri,Illustrated Book,1915.0,1995.0,Unknown,Yale University Art Gallery,Male,No,Italian,White,1910.0
247,Alberto Dutary,Drawing,1932.0,1998.0,Unknown,Museum of Modern Art,Male,No,Panamanian,Unknown,1930.0
249,Alberto Giacometti,Painting,1901.0,1966.0,Unknown,High Museum of Art,Male,No,Swiss,White,1900.0
250,Alberto Gironella,Print,1929.0,1999.0,Unknown,Museum of Modern Art,Male,No,Mexican,Unknown,1920.0
251,Alberto Greco,Drawing,1931.0,1965.0,Unknown,Museum of Modern Art,Male,No,Argentine,Unknown,1930.0
253,Alberto Magnelli,Print,1888.0,1971.0,Unknown,Museum of Modern Art,Male,No,Italian,Unknown,1880.0
254,Alberto Meda,Design,1945.0,0.0,Unknown,Museum of Modern Art,Male,No,Italian,Unknown,1940.0
255,Alberto Sani,Sculpture,1900.0,1964.0,Unknown,Museum of Modern Art,Male,No,Italian,Unknown,1900.0
258,Albin Johnson,Design,1887.0,1964.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1880.0
259,Albrecht/d.,Audio,1944.0,2013.0,Unknown,Museum of Modern Art,Male,No,German,Unknown,1940.0
263,Alden B. Dow,Frank Lloyd Wright Archive,1904.0,1983.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1900.0
265,Aldo Bakker,Design,1971.0,0.0,Unknown,Museum of Modern Art,Male,No,Dutch,Unknown,1970.0
266,Aldo Rossi,Architecture,1931.0,1997.0,Unknown,Rhode Island School of Design Museum,Male,No,Italian,White,1930.0
267,Alec Soth,Photograph,1969.0,0.0,Unknown,Rhode Island School of Design Museum,Male,No,American,White,1960.0
268,Alejandro Cesarco,Ephemera,1975.0,0.0,Unknown,Museum of Modern Art,Male,No,Uruguayan,Unknown,1970.0
269,Alejandro Kuropatwa,Photograph,1956.0,2003.0,Unknown,Museum of Modern Art,Male,No,Argentine,Unknown,1950.0
270,Alejandro Mario Yllanes,Print,1913.0,1960.0,Unknown,Museum of Modern Art,Male,No,Bolivian,Unknown,1910.0
271,Alejandro Otero,Painting,1921.0,1990.0,Hispanic,Museum of Fine Arts Houston,Male,No,Venezuelan,Unknown,1920.0
272,Alejandro Paz Navas,Video,1975.0,0.0,Unknown,Museum of Modern Art,Male,No,Guatemalan,Unknown,1970.0
273,Alejandro Puente,Drawing,1933.0,2013.0,Unknown,Museum of Modern Art,Male,No,Argentine,Unknown,1930.0
274,Alejandro Ruiz,Design,1958.0,0.0,Unknown,Museum of Modern Art,Male,No,Argentine,Unknown,1950.0
275,Alejandro Xul Solar,Drawing,1887.0,1963.0,Unknown,Museum of Modern Art,Male,No,Argentine,Unknown,1880.0
277,Aleksander Kobzdej,Drawing,1920.0,1972.0,Unknown,Museum of Modern Art,Male,No,Polish,Unknown,1920.0
279,Aleksandr Deineka,Design,1899.0,1969.0,Unknown,Museum of Modern Art,Male,No,Russian,Unknown,1890.0
282,Aleksandr Rodchenko,Illustrated Book,1891.0,1956.0,Unknown,Museum of Modern Art,Male,No,Russian,Unknown,1890.0
283,Aleksandr Shevchenko,Illustrated Book,1883.0,1948.0,Unknown,Museum of Modern Art,Male,No,Russian,Unknown,1880.0
286,Aleksandr Ustinov,Photograph,1909.0,1995.0,Unknown,Museum of Modern Art,Male,No,Russian,Unknown,1900.0
287,Aleksandr Vesnin,Illustrated Book,1883.0,1959.0,Unknown,Museum of Modern Art,Male,No,Russian,Unknown,1880.0
289,Aleksandra Mir,Ephemera,1967.0,0.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1960.0
292,Aleksei Gan,Design,1889.0,1942.0,Unknown,Museum of Modern Art,Male,No,Russian,Unknown,1880.0
295,Aleksei Kravchenko,Print,1889.0,1940.0,Unknown,Museum of Modern Art,Male,No,Russian,Unknown,1880.0
296,Aleksei Kruchenykh,Illustrated Book,1886.0,1968.0,Unknown,Museum of Modern Art,Male,No,Russian,Unknown,1880.0
298,Aleksei Remizov,Illustrated Book,1877.0,1957.0,Unknown,Museum of Modern Art,Male,No,Unknown,Unknown,1870.0
299,Alen MacWeeney,Photograph,1939.0,0.0,Unknown,Museum of Fine Arts Houston,Male,No,American,White,1930.0
300,Alena Kučerová,Print,1935.0,0.0,Unknown,Museum of Modern Art,Female,No,Czech,Unknown,1930.0
301,Alessandra Sanguinetti,Photograph,1968.0,0.0,Unknown,San Francisco Museum of Modern Art,Female,No,American,Unknown,1960.0
302,Alessandro Becchi,Design,1946.0,0.0,Unknown,Museum of Modern Art,Male,No,Italian,Unknown,1940.0
303,Alessandro Mendini,Design,1931.0,0.0,Unknown,Museum of Modern Art,Male,No,Italian,Unknown,1930.0
304,Alessandro Pessoli,Drawing,1963.0,0.0,Unknown,Museum of Modern Art,Male,No,Italian,Unknown,1960.0
305,Alessandro Raho,Drawing,1971.0,0.0,Unknown,Museum of Modern Art,Male,No,British,White,1970.0
306,Alex Brown,Drawing,1966.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1960.0
307,Alex Colville,Painting,1920.0,2013.0,Unknown,Museum of Modern Art,Male,No,Canadian,Unknown,1920.0
308,Alex Cox,Poster,1954.0,0.0,Unknown,Museum of Modern Art,Male,No,British,Unknown,1950.0
309,Alex Dodge,Print,1977.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1970.0
312,Alex Goad,Design,1989.0,0.0,Unknown,Museum of Modern Art,Male,No,Australian,Unknown,1980.0
313,Alex Grey,Drawing,1953.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1950.0
314,Alex Hay,Drawing,1930.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1930.0
